order_id,order_date,product,category,city,channel,quantity,price,total_sales
1000,05-12-2025 14:00,Backpack,Accessories,Hyderabad,Offline,2,11899,23798
1001,02-03-2025 15:00,Laptop,Electronics,Hyderabad,Offline,1,8114,8114
1002,31-08-2025 07:00,Backpack,Accessories,Hyderabad,Offline,4,4314,17256
1003,27-11-2025 19:00,Headphones,Electronics,Chennai,Online,2,33969,67938
1004,08-03-2025 15:00,Smartphone,Electronics,Bangalore,Online,3,42462,127386
1005,20-07-2025 18:00,Smartphone,Electronics,Delhi,Offline,3,681,2043
1006,11-01-2025 13:00,Smartphone,Electronics,Chennai,Online,1,7368,7368
1007,02-10-2025 06:00,Smartphone,Electronics,Bangalore,Online,2,772,1544
1008,08-06-2025 16:00,Laptop,Electronics,Pune,Online,3,28834,86502
1009,31-07-2025 06:00,T-shirt,Fashion,Delhi,Offline,3,49921,149763
1010,10-06-2025 13:00,Shoes,Fashion,Mumbai,Online,4,45816,183264
1011,03-12-2025 11:00,Tablet,Electronics,Chennai,Online,5,15353,76765
1012,16-04-2025 20:00,Shoes,Fashion,Hyderabad,Offline,5,5827,29135
1013,18-08-2025 03:00,Tablet,Electronics,Bangalore,Offline,5,6995,34975
1014,06-07-2025 01:00,Tablet,Electronics,Chennai,Offline,1,4768,4768
1015,09-05-2025 11:00,Watch,Accessories,Bangalore,Offline,2,41276,82552
1016,21-07-2025 12:00,Backpack,Accessories,Chennai,Offline,1,26282,26282
1017,10-12-2025 18:00,Backpack,Accessories,Chennai,Online,2,6908,13816
1018,01-09-2025 19:00,Shoes,Fashion,Bangalore,Online,1,39133,39133
1019,02-08-2025 03:00,Headphones,Electronics,Delhi,Offline,4,36721,146884
1020,12-04-2025 19:00,Shoes,Fashion,Mumbai,Online,3,47294,141882
1021,26-04-2025 19:00,Shoes,Fashion,Delhi,Online,2,15685,31370
1022,12-07-2025 11:00,Watch,Accessories,Pune,Offline,4,36851,147404
1023,23-01-2025 22:00,Smartphone,Electronics,Bangalore,Offline,1,43055,43055
1024,17-07-2025 23:00,T-shirt,Fashion,Hyderabad,Offline,3,48161,144483
1025,20-08-2025 11:00,Headphones,Electronics,Mumbai,Online,1,46547,46547
1026,30-08-2025 16:00,Backpack,Accessories,Mumbai,Offline,3,33409,100227
1027,08-04-2025 22:00,Laptop,Electronics,Bangalore,Online,4,49232,196928
1028,28-08-2025 14:00,Shoes,Fashion,Pune,Online,2,22394,44788
1029,19-12-2025 13:00,Shoes,Fashion,Delhi,Online,4,10046,40184
1030,06-03-2025 03:00,Laptop,Electronics,Hyderabad,Online,2,47796,95592
1031,08-02-2025 08:00,Tablet,Electronics,Pune,Offline,4,40241,160964
1032,29-04-2025 02:00,Smartphone,Electronics,Delhi,Online,1,42623,42623
1033,24-12-2025 04:00,T-shirt,Fashion,Bangalore,Online,5,33440,167200
1034,20-06-2025 17:00,Laptop,Electronics,Bangalore,Offline,5,19740,98700
1035,01-12-2025 01:00,Tablet,Electronics,Hyderabad,Online,4,24558,98232
1036,13-11-2025 23:00,Smartphone,Electronics,Chennai,Online,3,34360,103080
1037,26-04-2025 21:00,Headphones,Electronics,Hyderabad,Offline,3,30621,91863
